Cape Dory 30 Ketch,12500,30,1982,United States,
Newport 30 MKII,12500,30,1981,United States,
Catalina 30,12500,30,1982,United States,
Pearson 303 Pearson,12500,30,1984,United States,
S2 SLP 32,12500,29,1983,United States,
CAL 2-29,12500,29,1976,United States,
Soverel 27,12500,27,1987,United States,
Ericson 26,12500,26,1988,United States,
Hunter 240,12500,24,2001,United States,
Hunter 240,12500,24,2001,United States,
Sabre 27,12631,27,1971,United Kingdom,
Sabre 27,12631,27,1971,United Kingdom,
Fisher Freeward 25,12631,25,1973,United Kingdom,
Snapdragon 747,12631,24,1976,United Kingdom,
Custom Buccaneer 19,12695,27,2005,United Kingdom,
Beneteau First 235,12695,23,1987,United Kingdom,
Ohlson 38,12702,38,1968,Guernsey,
Vindo 40,12702,31,1975,United Kingdom,
Gib'Sea 76,12765,24,1985,France,
Morgan 34 Sloop,12900,34,1966,United States,
Pearson 10M,12900,33,1975,United States,
C&C Mark 1,12900,33,1975,United States,
Carrera Boats 290,12900,29,1993,United States,
Cape Dory 28 Sloop,12900,28,1978,United States,
Pearson Triton 27,12900,27,1984,United States,
Ericson 26.75,12950,27,1971,United States,
Cherubini Raider 33,12995,33,1979,United States,
J Boats J/29,12995,29,1983,United States,
Catalina 30,13000,30,1978,United States,
Pearson 303 Pearson,13000,30,1983,United States,
Islander Sloop,13000,28,1978,United States,
Sailboat Spacesailor 24,13057,24,1984,Australia,
Paceship Northwind 29 CB Sloop,13099,29,1969,Canada,
Northern Marine 29 Sloop,13099,29,1973,Canada,
Seafarer 30,13100,30,1979,United States,
Northstar 500,13312,23,1974,Ireland,
Custom Stratimer Endurance 35,13372,35,1977,Italy,
Comar Comet 910,13372,30,1972,Italy,
UFO Ufo 28,13372,28,1997,Italy,
Colvic UFO 27,13372,28,1982,Slovenia,
Sardine Marine Run,13372,18,2010,France,
Custom Hutton 28,13373,28,1981,Australia,
Catalina 250,13407,25,2006,United Kingdom,
Parker Squib 840,13407,19,2006,United Kingdom,
Contessa 26ft,13496,26,1979,Canada,
Hunter 31,13500,31,1987,United States,
C&C 29 II,13500,29,1983,United States,
Herreshoff Eagle,13500,22,1974,United States,
Cape Cod Bull's Eye,13700,16,1955,United States,
Ericson Sloop,13800,29,1974,United States,
CAL Mk III,13900,27,1984,United States,
MacGregor 26,13900,26,1996,United States,
Albin Ballad,13901,30,1972,United Kingdom,
Westerly Longbow,13972,31,1978,United Kingdom,
Jeanneau Rush,13980,31,1980,France,
Ericson Ericson 30',13999,30,1967,United States,
Morgan Out Island 37,14000,37,1979,Netherlands Antilles,
CAL Cruiser,14000,36,1969,United States,
Pearson 10M,14000,33,1977,United States,
Pearson Vanguard 33,14000,33,1964,United States,
Newport 30 Mk III,14000,30,1984,Mexico,
Heavenly Twins Symons 26,14000,26,1977,United States,
Schooner Tancook Whaler Schooner,14000,25,1978,United States,
Quickstep Quickstep 24,14000,24,1991,United States,
Trapper 950,14042,31,1987,United Kingdom,
Albin Ballad,14042,30,1972,United Kingdom,
MG HS30 (MODIFIED HALF TONNER),14042,30,1984,United Kingdom,
Peter Duck 28,14042,29,1964,United Kingdom,
Maxi 84,14042,28,1979,United Kingdom,
Maxi 84,14042,28,1979,United Kingdom,
Cutlass 27,14042,27,1969,United Kingdom,
Hunter Horizon 26,14042,26,1988,United Kingdom,
Nicholson 26,14042,26,1969,United Kingdom,
Mirage 27,14042,25,1981,United Kingdom,
De Ridder Extension 24 Quarter Tonner,14042,24,1975,United Kingdom,
One Design Haven,14042,16,2008,United Kingdom,
Carter 30,14099,30,1979,United Kingdom,
Iroquois Mk 1,14106,30,1966,United Kingdom,
Peter Duck 28,14106,28,1961,United Kingdom,
Folkboat Wooden Cruiser,14106,25,1957,United Kingdom,
Custom Samspeed,14106,25,1985,United Kingdom,
Pippin 20,14106,20,2002,United Kingdom,
Meeusen Bermudan Sloop,14113,35,1961,United Kingdom,
Verl Islander 32 Cutter,14113,32,1981,United Kingdom,
Salterns Stag 28,14113,28,1981,Jersey,
Leisure 27,14113,27,1979,United Kingdom,
Jeanneau Fantasia 27,14113,27,1987,United Kingdom,
Gib'Sea 76,14113,27,1985,United Kingdom,
Cornish Crabbers 24,14113,24,1978,United Kingdom,
S2 9.2C,14192,30,1981,Canada,
Beneteau First 30,14201,30,1981,United States,
CAL 31,14250,31,1979,United States,
Jeanneau Attalia 30,14463,9 ,1987,France,
Custom Buchan Sloop,14500,37,1969,United States,
Catalina 30,14500,30,1983,United States,
Custom Easterly 30 sloop,14500,30,1969,United States,
Gemini Sailing Cat,14500,30,1987,United States,
Irwin Performance Sloop,14500,30,1981,United States,
Catalina 30,14500,30,1978,United States,
Catalina 30,14500,30,1977,United States,
Laser Boats Laser 28 Sailboat,14500,28,1985,United States,
CAL Sloop,14500,28,1987,United States,
Pearson Sloop,14500,27,1987,United States,
Sea Sprite 23,14500,23,1981,United States,
Cape Cod Bull's Eye,14500,16,2004,United States,
Howard Fisher Cat,14500,14,2011,United States,
Custom Camper & Nicholson 32,14573,32,1966,Italy,
Jeanneau FOLIE DOUCE,14573,30,1973,France,
Beneteau Evasion 36,14573,28,1980,Croatia,
Custom Mariver ALMADIRA 29,14573,28,1967,Italy,
Sibma (5) EM 8.50,14573,27,1995,Italy,
Dufour 2800,14743,27,1979,United Kingdom,
CAL 2-30 Sloop,14800,30,1968,United States,
Nicholson 32 Mk 2,14813,32,1966,United Kingdom,
Kelt 9M,14813,31,1983,United Kingdom,
Kelt 9M,14813,31,1983,United Kingdom,
Downeast Auxiliary Cutter,14900,38,1975,United States,
Allied Seabreeze,14900,35,1965,United States,
Bristol 34,14900,34,1976,United States,
Custom Dory,14900,30,2014,United States,
Islander Bahamas,14900,30,1984,United States,
Laguna 30,14900,30,1987,United States,
Pearson Wanderer,14900,30,1966,United States,
S2 9.A,14900,30,1980,United States,
Tartan 30,14900,30,1977,United States,
Hunter Cherubini 30,14900,30,1978,United States,
Pearson 303 Pearson,14900,30,1984,United States,
S2 9.1,14900,30,1984,United States,
S2 9.1,14900,30,1984,United States,
Northern 29,14900,29,1973,United States,
Aloha 28,14900,28,1983,United States,
Hunter COASTAL CRUISER/DAYSAILER,14900,27,1981,United States,
Cape Dory 27,14900,27,1979,United States,
Ericson 27,14900,27,1978,United States,
Ericson 27,14900,27,1978,United States,
Kent Ranger,14900,26,1979,United States,
Yankee 30,14995,30,1972,United States,
O'Day 302,14995,30,1988,United States,
Columbia 39,15000,39,1971,United States,
Peterson 37,15000,37,1982,United States,
C&C 36,15000,36,1979,United States,
Hunter Legend 35,15000,35,1988,United States,
Coronado Center Cockpit,15000,35,1971,United States,
J Boats J/34,15000,34,1985,United States,
CAL 34 MK III,15000,34,1977,Mexico,
Ericson 32,15000,32,1977,United States,
Concordia 31,15000,31,1961,United States,
Bombay Clipper 31,15000,31,1979,United States,
Catalina 325,15000,30,1977,United States,
S2 9.1,15000,30,1985,United States,
Cape Dory 30,15000,30,1982,United States,
Catalina 30,15000,30,1990,United States,
Custom Auxiliary Cutter Pocket Cruiser,15000,30,1982,United States,
Catalina 30,15000,30,1980,United States,
J Boats J/29,15000,29,1983,United States,
CAL 29,15000,29,1974,United States,
Lancer Sloop MK II,15000,29,1979,United States,
Newport 28 MK II,15000,28,1986,United States,
Sabre 28 MK III Sloop,15000,28,1974,United States,
Bruce Roberts 40 Spray,15000,28,1984,United States,
Aquarius RC 27,15000,27,1981,United States,
Sloop Allegro 27,15000,27,1978,Grenada,
Nor'Sea Center Cockpit,15000,27,1977,United States,
Hunter 27,15000,27,1993,United States,
Alden Biddeford Pool One Design,15000,19,1980,United States,
Fenwick Williams Catboat,15000,16,1995,United States,
C&C 33 MKI,15004,33,1976,Canada,
Aloha 8.5,15084,28,1983,Canada,
Cruiser Racer 29,15171,29,1975,United Kingdom,
Dufour 2800 CS,15196,28,1979,Italy,
CAL 28,15400,28,1986,United States,
Marauder 27,15431,27,1977,Australia,
Dolphin 31,15454,31,1978,United Kingdom,
Southerly 28,15454,28,1979,United Kingdom,
C&C 30,15480,30,1981,Canada,
C&C 27 MkI Sloop,15480,27,1972,Canada,
C&C 32,15500,32,1982,United States,
O'Day 32 Center Cockpit,15500,32,1977,United States,
Ericson 30+,15500,30,1984,United States,
C&C 30,15500,30,1979,United States,
Gulf 1981 Pilot House 29,15500,29,1981,United States,
C&C 29 MK II,15500,29,1983,United States,
Hunter 28.5,15500,28,1986,United States,
Rhodes 19,15500,19,2003,United States,
White Hall 16' Sailing Boat,15500,16,1980,United States,
Westerly Berwick,15517,31,1978,United Kingdom,
Westerly Pentland,15517,31,1973,United Kingdom,
Classic Cardnell Sloop,15517,24,1934,United Kingdom,
Achilles 9m,15524,30,1980,United Kingdom,
Maxi 84,15524,28,1980,United Kingdom,
Pearson 27,15675,27,1989,United States,
Sloop Hai class,15682,31,1938,Poland,
C&C 34,15719,34,1980,Canada,
C&C 29 MkII,15798,29,1983,Canada,
Jeanneau Symphonie,15804,30,1981,France,
markus glass Dragon,15804,30,1986,Slovenia,
Sibma EM 830,15804,27,1988,Italy,
Jeanneau Tortuga 27,15804,27,1972,Italy,
Viksund 27,15804,27,1970,Italy,
X-Yachts X-79,15804,26,1983,Netherlands,
Sloop toro 25,15804,25,2007,Spain,
Sailboat Decision 7.5,15804,25,2003,Spain,
Viksund COMBI 25,15804,25,1970,Italy,
Swarbrick S99,15826,32,1983,Australia,
Morgan 34 Sloop,15877,34,1969,Canada,
Ranger Yachts 33,15877,33,1974,Canada,
Martin Custom,15877,32,1988,Canada,
C&C 40,15900,40,1979,United States,
